protocol,subset_fraction,seed,transaction_count,active_product_count,subset_index_sha256,minimum_support,minimum_support_count,algorithm,maximum_length,status,failure_reason,runtime_seconds,frequent_itemset_count,length_1_count,length_2_count,length_3_count,rss_before_bytes,rss_after_bytes,approximate_rss_delta_bytes,memory_measurement
A_fixed_support_proportion,0.25,5501,4475,3525,14a1088b81a53b89879ee86f233d54c331d9eba4fd78a7505f5e74cf0059bf2d,0.005,23,FP-Growth,3,success,,7.362619300023653,20480,1548,10216,8716,113676288,165871616,52195328,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.25,5501,4475,3525,14a1088b81a53b89879ee86f233d54c331d9eba4fd78a7505f5e74cf0059bf2d,0.005,23,Apriori,3,success,,12.643482899991795,20480,1548,10216,8716,166330368,157413376,-8916992,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.25,5501,4475,3525,14a1088b81a53b89879ee86f233d54c331d9eba4fd78a7505f5e74cf0059bf2d,0.02011173184357542,90,FP-Growth,3,success,,0.9085234999656677,397,298,95,4,153255936,152100864,-1155072,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.25,5501,4475,3525,14a1088b81a53b89879ee86f233d54c331d9eba4fd78a7505f5e74cf0059bf2d,0.02011173184357542,90,Apriori,3,success,,0.5754227000288665,397,298,95,4,152096768,154415104,2318336,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.25,5502,4475,3532,bfc0d3d01a15bfb3405e0e18a139fbae1a6174ce9b41813064cc738b77a1c8ab,0.005,23,FP-Growth,3,success,,8.206208499963395,22140,1551,11523,9066,146857984,165384192,18526208,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.25,5502,4475,3532,bfc0d3d01a15bfb3405e0e18a139fbae1a6174ce9b41813064cc738b77a1c8ab,0.005,23,Apriori,3,success,,13.416743999929167,22140,1551,11523,9066,165695488,164978688,-716800,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.25,5502,4475,3532,bfc0d3d01a15bfb3405e0e18a139fbae1a6174ce9b41813064cc738b77a1c8ab,0.02011173184357542,90,FP-Growth,3,success,,1.0024417999666184,412,312,96,4,159961088,156286976,-3674112,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.25,5502,4475,3532,bfc0d3d01a15bfb3405e0e18a139fbae1a6174ce9b41813064cc738b77a1c8ab,0.02011173184357542,90,Apriori,3,success,,0.7055437999079004,412,312,96,4,152117248,151699456,-417792,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.25,5503,4475,3523,d902e61d82d059f2eeb2a25c3db47e42ef6fb65d145a194ca8173539c05a0cb7,0.005,23,FP-Growth,3,success,,6.67636839998886,19307,1545,9769,7993,149753856,161878016,12124160,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.25,5503,4475,3523,d902e61d82d059f2eeb2a25c3db47e42ef6fb65d145a194ca8173539c05a0cb7,0.005,23,Apriori,3,success,,12.306009800056927,19307,1545,9769,7993,162418688,168644608,6225920,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.25,5503,4475,3523,d902e61d82d059f2eeb2a25c3db47e42ef6fb65d145a194ca8173539c05a0cb7,0.02011173184357542,90,FP-Growth,3,success,,1.1680155999492854,416,308,103,5,163258368,163782656,524288,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.25,5503,4475,3523,d902e61d82d059f2eeb2a25c3db47e42ef6fb65d145a194ca8173539c05a0cb7,0.02011173184357542,90,Apriori,3,success,,0.6836611999897286,416,308,103,5,161710080,169308160,7598080,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.5,5501,8950,3671,91a5484368ebf700717ab11a193a7b4a538691b9f44624c2ff942cc5506fd13f,0.005,45,FP-Growth,3,success,,13.70168980001472,18744,1578,9804,7362,168255488,204722176,36466688,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.5,5501,8950,3671,91a5484368ebf700717ab11a193a7b4a538691b9f44624c2ff942cc5506fd13f,0.005,45,Apriori,3,success,,18.71105559996795,18744,1578,9804,7362,204857344,206520320,1662976,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.5,5501,8950,3671,91a5484368ebf700717ab11a193a7b4a538691b9f44624c2ff942cc5506fd13f,0.01005586592178771,90,FP-Growth,3,success,,4.721060800016858,2186,816,1023,347,205615104,192823296,-12791808,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.5,5501,8950,3671,91a5484368ebf700717ab11a193a7b4a538691b9f44624c2ff942cc5506fd13f,0.01005586592178771,90,Apriori,3,success,,3.408725199988112,2186,816,1023,347,192913408,195063808,2150400,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.5,5502,8950,3682,957fcdd850f70da8f983ec78df1ba926b9e5f39cf3e97a2af36e9d586dfbc226,0.005,45,FP-Growth,3,success,,14.357820399920456,18825,1563,10007,7255,197001216,205697024,8695808,approximate process RSS before/after; not peak memory
A_fixed_support_proportion,0.5,5502,8950,3682,957fcdd850f70da8f983ec78df1ba926b9e5f39cf3e97a2af36e9d586dfbc226,0.005,45,Apriori,3,success,,17.619598200079054,18825,1563,10007,7255,205828096,213020672,7192576,approximate process RSS before/after; not peak memory
B_fixed_absolute_support_count,0.5,5502,8950,3682,957fcdd850f70da8f983ec78df1ba926b9e5f39cf3e97a2af36e9d586dfbc226,0.01005586592178771,90,FP-Growth,3,success,,5.123304300010204,2187,823,1064,300,212025344,200364032,-11661312,approximate process RSS before/after; not peak memory
