StockCode,Description,line_count
POST,POSTAGE,1252
DOT,DOTCOM POSTAGE,709
M,Manual,571
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,406
22645,CERAMIC HEART FAIRY CAKE MONEY BANK,363
22637,PIGGY BANK RETROSPOT ,357
15056BL,EDWARDIAN PARASOL BLACK,326
22644,CERAMIC CHERRY CAKE MONEY BANK,283
22650,CERAMIC PIRATE CHEST MONEY BANK,148
C2,CARRIAGE,143
47566b,TEA TIME PARTY BUNTING,102
15056n,EDWARDIAN PARASOL NATURAL,84
72349b,SET/6 PURPLE BUTTERFLY T-LIGHTS,82
23444,Next Day Carriage,80
D,Discount,77
84509a,SET OF 4 ENGLISH ROSE PLACEMATS,68
84997d,CHILDRENS CUTLERY POLKADOT PINK,67
85123a,WHITE HANGING HEART T-LIGHT HOLDER,67
84970s,HANGING HEART ZINC T-LIGHT HOLDER,66
23099,FRENCH CARRIAGE LANTERN,63
S,SAMPLES,63
15056bl,EDWARDIAN PARASOL BLACK,62
82494l,WOODEN FRAME ANTIQUE WHITE ,61
84997a,CHILDRENS CUTLERY POLKADOT GREEN ,60
84997c,CHILDRENS CUTLERY POLKADOT BLUE,60
84997b,CHILDRENS CUTLERY RETROSPOT RED ,58
47591d,PINK FAIRY CAKE CHILDRENS APRON,56
85049g,CHOCOLATE BOX RIBBONS ,51
84970l,SINGLE HEART ZINC T-LIGHT HOLDER,50
22647,CERAMIC LOVE HEART MONEY BANK,47
72801d,4 SKY BLUE DINNER CANDLES,44
84030e,ENGLISH ROSE HOT WATER BOTTLE,44
85049e,SCANDINAVIAN REDS RIBBONS,42
84510a,SET OF 4 ENGLISH ROSE COASTERS,40
21518,BANK ACCOUNT  GREETING  CARD ,38
BANK CHARGES,Bank Charges,37
85049a,TRADITIONAL CHRISTMAS RIBBONS,36
85114c,RED ENCHANTED FOREST PLACEMAT,35
85168B,BLACK BAROQUE CARRIAGE CLOCK,35
AMAZONFEE,AMAZON FEE,34
85039a,SET/4 RED MINI ROSE CANDLE IN BOWL,29
47559b,TEA TIME OVEN GLOVE,28
84509c,SET OF 4 POLKADOT PLACEMATS ,27
15056p,EDWARDIAN PARASOL PINK,26
84884a,ANT WHITE WIRE HEART SPIRAL,26
72801c,4 ROSE PINK DINNER CANDLES,25
84989a,75 GREEN FAIRY CAKE CASES,25
84510c,SET OF 4 POLKADOT COASTERS,23
85014b,RED RETROSPOT UMBRELLA,23
84559a,3D SHEET OF DOG STICKERS,22
84872a,TEATIME FUNKY FLOWER BACKPACK FOR 2,21
85040a,S/4 PINK FLOWER CANDLES IN BOWL,21
84559b,3D SHEET OF CAT STICKERS,20
84993a,75 GREEN PETIT FOUR CASES,19
20847,ZINC HEART LATTICE CHARGER LARGE,18
23574,PACKING CHARGE,16
84660c,PINK STITCHED WALL CLOCK,16
CRUK,CRUK Commission,16
82001s,SILVER RECORD COVER FRAME,15
85114a,BLACK ENCHANTED FOREST PLACEMAT,15
84795b,SUNSET CHECK HAMMOCK,14
85014a,BLACK/BLUE POLKADOT UMBRELLA,14
85114b,IVORY ENCHANTED FOREST PLACEMAT,14
DCGSSGIRL,GIRLS PARTY BAG,13
18098c,PORCELAIN BUTTERFLY OIL BURNER,12
72351a,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,12
82001s,VINYL RECORD FRAME SILVER,12
84596f,SMALL MARSHMALLOWS PINK BOWL,12
84796a,PINK HAWAIIAN PICNIC HAMPER FOR 2,12
84997b,RED 3 PIECE RETROSPOT CUTLERY SET,12
DCGSSBOY,BOYS PARTY BAG,11
79066k,RETRO MOD TRAY,10
85099f,JUMBO BAG STRAWBERRY,10
35809a,ENAMEL PINK TEA CONTAINER,9
47590b,PINK HAPPY BIRTHDAY BUNTING,9
85132b,CHARLIE AND LOLA TABLE TINS,9
gift_0001_20,Dotcomgiftshop Gift Voucher £20.00,9
20848,ZINC HEART LATTICE CHARGER SMALL,8
84997d,PINK 3 PIECE POLKADOT CUTLERY SET,8
85132a,CHARLIE + LOLA BISCUITS TINS,8
gift_0001_10,Dotcomgiftshop Gift Voucher £10.00,8
48173c,DOORMAT BLACK FLOCK ,7
gift_0001_30,Dotcomgiftshop Gift Voucher £30.00,7
84596e,SMALL LICORICE DES PINK BOWL,6
84968e,SET OF 16 VINTAGE BLACK CUTLERY,6
84997c,BLUE 3 PIECE POLKADOT CUTLERY SET,6
85231g,ORANGE SCENTED SET/9 T-LIGHTS,6
22206,"MUG , DOTCOMGIFTSHOP.COM ",5
47518f,ICON PLACEMAT POP ART ELVIS,5
72807a,SET/3 ROSE CANDLE IN JEWELLED BOX,5
72807c,SET/3 VANILLA SCENTED CANDLE IN BOX,5
84558a,3D DOG PICTURE PLAYING CARDS,5
84596b,SMALL DOLLY MIX DESIGN ORANGE BOWL,5
84997a,GREEN 3 PIECE POLKADOT CUTLERY SET,5
72807b,SET/3 OCEAN SCENT CANDLE JEWEL BOX,4
82613b,"METAL SIGN,CUPCAKE SINGLE HOOK",4
82613c,"METAL SIGN,CUPCAKE SINGLE HOOK",4
84509b,SET OF 4 FAIRY CAKE PLACEMATS,4
84536a,ENGLISH ROSE NOTEBOOK A7 SIZE,4
DCGS0003,BOXED GLASS ASHTRAY,4
PADS,PADS TO MATCH ALL CUSHIONS,4
POST,,4
gift_0001_50,Dotcomgiftshop Gift Voucher £50.00,4
15060b,FAIRY CAKE DESIGN UMBRELLA,3
22734,amazon,3
84968a,SET OF 16 VINTAGE ROSE CUTLERY,3
84968d,SET OF 16 VINTAGE RED CUTLERY,3
85034a,3 GARDENIA MORRIS BOXED CANDLES,3
85132c,CHARLIE AND LOLA FIGURES TINS,3
85231b,CINAMMON SET OF 9 T-LIGHTS,3
B,Adjust bad debt,3
gift_0001_40,Dotcomgiftshop Gift Voucher £40.00,3
21181,adjustment,2
22035,taig adjust,2
22351,DOTCOMGIFTSHOP TEA TOWEL,2
22823,test,2
47570b,TEA TIME TABLE CLOTH,2
72802a,ROSE SCENT CANDLE IN JEWELLED BOX,2
82583,amazon,2
84509g,SET OF 4 FAIRY CAKE PLACEMATS ,2
84534b,FAIRY CAKE NOTEBOOK A5 SIZE,2
84660a,WHITE STITCHED WALL CLOCK,2
84660b,BLACK STITCHED WALL CLOCK,2
85035a,GARDENIA 3 WICK MORRIS BOXED CANDLE,2
85049b,LUSH GREENS RIBBONS,2
85049d,BRIGHT BLUES RIBBONS ,2
85184c,SET 4 VALENTINE DECOUPAGE HEART BOX,2
DCGS0076,SUNJAR LED NIGHT NIGHT LIGHT,2
17109D,Adjustment,1
20665,adjustment,1
20665,dotcom,1
20967,Amazon Adjustment,1
21033,taig adjust no stock,1
21135,sold as set on dotcom,1
21136,sold as set on dotcom,1
21181,dotcom,1
21319,adjustment,1
21360,Show Samples,1
21391,Sold as 1 on dotcom,1
21621,rcvd be air temp fix for dotcom sit,1
21621,re dotcom quick fix.,1
21656,samples,1
21700,sold as set on dotcom and amazon,1
21736,Adjustment,1
21794,adjustment,1
21804,dotcom,1
21823,amazon adjust,1
21829,adjustment,1
21830,OOPS ! adjustment,1
21868,Amazon,1
21888,Amazon,1
22016,Dotcomgiftshop Gift Voucher £100.00,1
22043,dotcom,1
22087,Amazon,1
22127,Dotcom sold in 6's,1
22128,sold as set on dotcom,1
22130,sold as set on dotcom,1
22139,amazon,1
22176,amazon,1
22355,test,1
22501,reverse 21/5/10 adjustment,1
22502,reverse 21/5/10 adjustment,1
22548,adjustment,1
22579,dotcom,1
22687,adjustment,1
22734,amazon sales,1
22740,adjustment,1
22848,AMAZON,1
22856,sold as set on dotcom,1
22857,sold as set on dotcom,1
22915,sold as set on dotcom,1
22922,sold as set on dotcom,1
22923,sold as set on dotcom,1
22924,sold as set on dotcom,1
22925,AMAZON,1
22927,Amazon,1
22944,sold as set on dotcom,1
22945,sold as set on dotcom,1
22948,sold as set on dotcom,1
23001,TRAVEL CARD WALLET DOTCOMGIFTSHOP,1
23084,Amazon,1
23084,allocate stock for dotcom orders ta,1
23084,temp adjustment,1
23118,dotcom adjust,1
23155,sold as set on dotcom,1
23595,adjustment,1
23595,re-adjustment,1
35818B,adjustment,1
35965,dotcom,1
37327,adjustment,1
37327,sold as set on dotcom,1
37340,sold as set on dotcom,1
37370,damages/dotcom?,1
37370,sold as set/6 by dotcom,1
37471,sold as set on dotcom,1
37479B,sold as set by dotcom,1
37479P,sold as set on dotcom,1
46000M,Dotcom sales,1
46000S,Dotcom,1
46000S,Dotcom sales,1
46000S,dotcom sales,1
46776a,WOVEN BUBBLE GUM CUSHION COVER,1
46776b,WOVEN BERRIES CUSHION COVER ,1
46776e,WOVEN CANDY CUSHION COVER ,1
46776f,WOVEN ROSE GARDEN CUSHION COVER ,1
47566B,reverse previous adjustment,1
47591b,SCOTTIES CHILDRENS APRON,1
47593b,SCOTTIE DOGS BABY BIB,1
48189,adjustment,1
51014c,"FEATHER PEN,COAL BLACK",1
51020A,adjustment,1
51020B,adjust,1
72802c,VANILLA SCENT CANDLE JEWELLED BOX,1
72803b,OCEAN SCENT CANDLE JEWELLED DRAWER,1
72807A,AMAZON,1
72817,dotcomstock,1
79051A,sold as set on dotcom,1
79163,sold as set on dotcom,1
79323GR,"Unsaleable, destroyed.",1
79323LP,"Unsaleable, destroyed.",1
82613A,Amazon,1
82613a,"METAL SIGN,CUPCAKE SINGLE HOOK",1
84031a,CHARLIE+LOLA RED HOT WATER BOTTLE ,1
84031b,CHARLIE LOLA BLUE HOT WATER BOTTLE ,1
84352,Damages/samples,1
84507C,adjustment,1
84510e,SET OF 4 GREEN CAROUSEL COASTERS,1
84536b,FAIRY CAKES NOTEBOOK A7 SIZE,1
84596g,SMALL CHOCOLATES PINK BOWL,1
84596l,BISCUITS SMALL BOWL LIGHT BLUE,1
84661a,WHITE SQUARE TABLE CLOCK,1
84661b,BLACK SQUARE TABLE CLOCK,1
84968f,SET OF 16 VINTAGE SKY BLUE CUTLERY,1
84971l,LARGE HEART FLOWERS HOOK   ,1
85017C,adjustment,1
85034b,3 WHITE CHOC MORRIS BOXED CANDLES,1
85035b,CHOCOLATE 3 WICK MORRIS BOX CANDLE,1
85035c,ROSE 3 WICK MORRIS BOX CANDLE,1
85036a,GARDENIA 1 WICK MORRIS BOXED CANDLE,1
85036b,CHOCOLATE 1 WICK MORRIS BOX CANDLE,1
85049B,Amazon,1
85049c,ROMANTIC PINKS RIBBONS ,1
85160a,WHITE BIRD GARDEN DESIGN MUG,1
85161,samples/damages,1
85172,Dotcom set,1
85175,Amazon sold sets,1
85175,dotcom sold sets,1
85179a,GREEN BITTY LIGHT CHAIN,1
85231G,amazon,1
90183c,BLACK DROP EARRINGS W LONG BEADS,1
90184c,BLACK CHUNKY BEAD BRACELET W STRAP,1
C2,,1
DCGS0003,ebay,1
DCGS0004,HAYNES CAMPER SHOULDER BAG,1
DCGS0055,,1
DCGS0057,,1
DCGS0066P,,1
DCGS0067,ebay,1
DCGS0068,ebay,1
DCGS0069,OOH LA LA DOGS COLLAR,1
DCGS0069,ebay,1
DCGS0070,CAMOUFLAGE DOG COLLAR,1
DCGS0070,,1
DCGS0071,,1
DCGS0072,,1
DCGS0073,ebay,1
DCGS0074,,1
DOT,,1
gift_0001_10,,1
gift_0001_20,to push order througha s stock was ,1
gift_0001_30,,1
m,Manual,1
