StockCode,Description,ProductLabel,transaction_count,total_quantity
85123A,WHITE HANGING HEART T-LIGHT HOLDER,85123A — WHITE HANGING HEART T-LIGHT HOLDER,2171,35783
85099B,JUMBO BAG RED RETROSPOT,85099B — JUMBO BAG RED RETROSPOT,1935,44161
22423,REGENCY CAKESTAND 3 TIER,22423 — REGENCY CAKESTAND 3 TIER,1685,11044
47566,PARTY BUNTING,47566 — PARTY BUNTING,1593,16961
20725,LUNCH BAG RED RETROSPOT,20725 — LUNCH BAG RED RETROSPOT,1392,14990
84879,ASSORTED COLOUR BIRD ORNAMENT,84879 — ASSORTED COLOUR BIRD ORNAMENT,1371,33636
22197,POPCORN HOLDER,22197 — POPCORN HOLDER,1296,53320
22720,SET OF 3 CAKE TINS PANTRY DESIGN,22720 — SET OF 3 CAKE TINS PANTRY DESIGN,1241,5695
22457,NATURAL SLATE HEART CHALKBOARD,22457 — NATURAL SLATE HEART CHALKBOARD,1219,8747
20727,LUNCH BAG BLACK SKULL.,20727 — LUNCH BAG BLACK SKULL.,1216,10800
22383,LUNCH BAG SUKI DESIGN,22383 — LUNCH BAG SUKI DESIGN,1200,10295
22469,HEART OF WICKER SMALL,22469 — HEART OF WICKER SMALL,1164,17522
22386,JUMBO BAG PINK POLKADOT,22386 — JUMBO BAG PINK POLKADOT,1159,19375
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,22411 — JUMBO SHOPPER VINTAGE RED PAISLEY,1133,11803
23203,JUMBO BAG VINTAGE DOILY,23203 — JUMBO BAG VINTAGE DOILY,1133,17959
21931,JUMBO STORAGE BAG SUKI,21931 — JUMBO STORAGE BAG SUKI,1130,12970
21212,PACK OF 72 RETROSPOT CAKE CASES,21212 — PACK OF 72 RETROSPOT CAKE CASES,1129,24963
22086,PAPER CHAIN KIT 50'S CHRISTMAS,22086 — PAPER CHAIN KIT 50'S CHRISTMAS,1125,18510
82482,WOODEN PICTURE FRAME WHITE FINISH,82482 — WOODEN PICTURE FRAME WHITE FINISH,1076,8711
20728,LUNCH BAG CARS BLUE,20728 — LUNCH BAG CARS BLUE,1065,9587
23298,SPOTTY BUNTING,23298 — SPOTTY BUNTING,1046,7253
22382,LUNCH BAG SPACEBOY DESIGN,22382 — LUNCH BAG SPACEBOY DESIGN,1038,7389
22666,RECIPE BOX PANTRY YELLOW DESIGN,22666 — RECIPE BOX PANTRY YELLOW DESIGN,1027,6792
22961,JAM MAKING SET PRINTED,22961 — JAM MAKING SET PRINTED,1008,12287
22384,LUNCH BAG PINK POLKADOT,22384 — LUNCH BAG PINK POLKADOT,1006,8330
22178,VICTORIAN GLASS HANGING T-LIGHT,22178 — VICTORIAN GLASS HANGING T-LIGHT,1002,23663
22993,SET OF 4 PANTRY JELLY MOULDS,22993 — SET OF 4 PANTRY JELLY MOULDS,1000,10789
22960,JAM MAKING SET WITH JARS,22960 — JAM MAKING SET WITH JARS,999,6642
23209,LUNCH BAG VINTAGE DOILY,23209 — LUNCH BAG VINTAGE DOILY,990,10590
22699,ROSES REGENCY TEACUP AND SAUCER,22699 — ROSES REGENCY TEACUP AND SAUCER,956,8115
82494L,WOODEN FRAME ANTIQUE WHITE,82494L — WOODEN FRAME ANTIQUE WHITE,942,6725
22697,GREEN REGENCY TEACUP AND SAUCER,22697 — GREEN REGENCY TEACUP AND SAUCER,932,6270
22727,ALARM CLOCK BAKELIKE RED,22727 — ALARM CLOCK BAKELIKE RED,930,6641
23206,LUNCH BAG APPLE DESIGN,23206 — LUNCH BAG APPLE DESIGN,915,9668
22470,HEART OF WICKER LARGE,22470 — HEART OF WICKER LARGE,914,9816
85099C,JUMBO BAG BAROQUE BLACK WHITE,85099C — JUMBO BAG BAROQUE BLACK WHITE,910,13250
20724,RED RETROSPOT CHARLOTTE BAG,20724 — RED RETROSPOT CHARLOTTE BAG,903,13539
23301,GARDENERS KNEELING PAD KEEP CALM,23301 — GARDENERS KNEELING PAD KEEP CALM,898,8603
84946,ANTIQUE SILVER T-LIGHT GLASS,84946 — ANTIQUE SILVER T-LIGHT GLASS,890,18981
23199,JUMBO BAG APPLES,23199 — JUMBO BAG APPLES,885,12842
22726,ALARM CLOCK BAKELIKE GREEN,22726 — ALARM CLOCK BAKELIKE GREEN,876,5620
21790,VINTAGE SNAP CARDS,21790 — VINTAGE SNAP CARDS,875,12896
20726,LUNCH BAG WOODLAND,20726 — LUNCH BAG WOODLAND,870,6676
21034,REX CASH+CARRY JUMBO SHOPPER,21034 — REX CASH+CARRY JUMBO SHOPPER,861,1867
22077,6 RIBBONS RUSTIC CHARM,22077 — 6 RIBBONS RUSTIC CHARM,855,7262
23201,JUMBO BAG ALPHABET,23201 — JUMBO BAG ALPHABET,848,12084
21080,SET/20 RED RETROSPOT PAPER NAPKINS,21080 — SET/20 RED RETROSPOT PAPER NAPKINS,840,9720
23084,RABBIT NIGHT LIGHT,23084 — RABBIT NIGHT LIGHT,833,15253
22112,CHOCOLATE HOT WATER BOTTLE,22112 — CHOCOLATE HOT WATER BOTTLE,820,5541
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,20914 — SET/5 RED RETROSPOT LID GLASS BOWLS,816,5073
