rule_key,antecedent_codes,antecedent_descriptions,consequent_codes,consequent_descriptions,antecedent_length,consequent_length,antecedent_support,consequent_support,support,support_count,confidence,lift,leverage,conviction,conviction_is_infinite,interpretation,key_metrics_finite,conviction_valid,is_redundant
23172 | 23174 => 23171,"[""23172"", ""23174""]","[""23172 — REGENCY TEA PLATE PINK"", ""23174 — REGENCY SUGAR BOWL GREEN""]","[""23171""]","[""23171 — REGENCY TEA PLATE GREEN""]",2,1,0.00636835930953578,0.0187699011228423,0.00620077090665326,111,0.9736842105263158,51.87476503759398,0.006081237432098541,37.28674375733203,False,"Among transactions containing [23172 — REGENCY TEA PLATE PINK; 23174 — REGENCY SUGAR BOWL GREEN], [23171 — REGENCY TEA PLATE GREEN] also appears with Confidence 0.974; Lift 51.875 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
21934 | 22909 => 21935,"[""21934"", ""22909""]","[""21934 — SKULL SHOULDER BAG"", ""22909 — SET OF 20 VINTAGE CHRISTMAS NAPKINS""]","[""21935""]","[""21935 — SUKI SHOULDER BAG""]",2,1,0.005418691693201497,0.02832244008714597,0.005251103290318976,94,0.9690721649484536,34.215701823949246,0.005097632719487561,31.417574437182278,False,"Among transactions containing [21934 — SKULL SHOULDER BAG; 22909 — SET OF 20 VINTAGE CHRISTMAS NAPKINS], [21935 — SUKI SHOULDER BAG] also appears with Confidence 0.969; Lift 34.216 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22916 | 22921 => 22918,"[""22916"", ""22921""]","[""22916 — HERB MARKER THYME"", ""22921 — HERB MARKER CHIVES""]","[""22918""]","[""22918 — HERB MARKER PARSLEY""]",2,1,0.010278755376794593,0.01273671861907156,0.009943578571029552,178,0.967391304347826,75.9529462242563,0.00981266095604105,30.27607396234844,False,"Among transactions containing [22916 — HERB MARKER THYME; 22921 — HERB MARKER CHIVES], [22918 — HERB MARKER PARSLEY] also appears with Confidence 0.967; Lift 75.953 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22917 | 22921 => 22918,"[""22917"", ""22921""]","[""22917 — HERB MARKER ROSEMARY"", ""22921 — HERB MARKER CHIVES""]","[""22918""]","[""22918 — HERB MARKER PARSLEY""]",2,1,0.010222892575833753,0.01273671861907156,0.009887715770068712,177,0.9672131147540983,75.93895599654874,0.009757509663857323,30.111530082118286,False,"Among transactions containing [22917 — HERB MARKER ROSEMARY; 22921 — HERB MARKER CHIVES], [22918 — HERB MARKER PARSLEY] also appears with Confidence 0.967; Lift 75.939 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22917 | 22921 => 22916,"[""22917"", ""22921""]","[""22917 — HERB MARKER ROSEMARY"", ""22921 — HERB MARKER CHIVES""]","[""22916""]","[""22916 — HERB MARKER THYME""]",2,1,0.010222892575833753,0.01284844422099324,0.009887715770068712,177,0.9672131147540983,75.27861724875268,0.009756367505030906,30.10812245125967,False,"Among transactions containing [22917 — HERB MARKER ROSEMARY; 22921 — HERB MARKER CHIVES], [22916 — HERB MARKER THYME] also appears with Confidence 0.967; Lift 75.279 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
21494 | 21934 => 21935,"[""21494"", ""21934""]","[""21494 — ROTATING LEAVES T-LIGHT HOLDER"", ""21934 — SKULL SHOULDER BAG""]","[""21935""]","[""21935 — SUKI SHOULDER BAG""]",2,1,0.007876654935478464,0.02832244008714597,0.007597340930674264,136,0.9645390070921988,34.05564648117841,0.007374254843177053,27.401307189542614,False,"Among transactions containing [21494 — ROTATING LEAVES T-LIGHT HOLDER; 21934 — SKULL SHOULDER BAG], [21935 — SUKI SHOULDER BAG] also appears with Confidence 0.965; Lift 34.056 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22919 | 22921 => 22918,"[""22919"", ""22921""]","[""22919 — HERB MARKER MINT"", ""22921 — HERB MARKER CHIVES""]","[""22918""]","[""22918 — HERB MARKER PARSLEY""]",2,1,0.010278755376794593,0.01273671861907156,0.009887715770068712,177,0.9619565217391305,75.5262442791762,0.00975679815508021,25.95092053915587,False,"Among transactions containing [22919 — HERB MARKER MINT; 22921 — HERB MARKER CHIVES], [22918 — HERB MARKER PARSLEY] also appears with Confidence 0.962; Lift 75.526 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22916 | 22921 => 22917,"[""22916"", ""22921""]","[""22916 — HERB MARKER THYME"", ""22921 — HERB MARKER CHIVES""]","[""22917""]","[""22917 — HERB MARKER ROSEMARY""]",2,1,0.010278755376794593,0.012904307021954081,0.009887715770068712,177,0.9619565217391305,74.54538396386222,0.009755075554882994,25.9465153582801,False,"Among transactions containing [22916 — HERB MARKER THYME; 22921 — HERB MARKER CHIVES], [22917 — HERB MARKER ROSEMARY] also appears with Confidence 0.962; Lift 74.545 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
21494 | 22817 => 21935,"[""21494"", ""22817""]","[""21494 — ROTATING LEAVES T-LIGHT HOLDER"", ""22817 — CARD SUKI BIRTHDAY""]","[""21935""]","[""21935 — SUKI SHOULDER BAG""]",2,1,0.005753868498966538,0.02832244008714597,0.005530417295123178,99,0.9611650485436893,33.936519790888724,0.005367453699291882,25.020697167756,False,"Among transactions containing [21494 — ROTATING LEAVES T-LIGHT HOLDER; 22817 — CARD SUKI BIRTHDAY], [21935 — SUKI SHOULDER BAG] also appears with Confidence 0.961; Lift 33.937 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22920 | 22921 => 22918,"[""22920"", ""22921""]","[""22920 — HERB MARKER BASIL"", ""22921 — HERB MARKER CHIVES""]","[""22918""]","[""22918 — HERB MARKER PARSLEY""]",2,1,0.009887715770068712,0.01273671861907156,0.00949667616334283,170,0.96045197740113,75.40811775200713,0.009370739109794107,24.963657257774926,False,"Among transactions containing [22920 — HERB MARKER BASIL; 22921 — HERB MARKER CHIVES], [22918 — HERB MARKER PARSLEY] also appears with Confidence 0.960; Lift 75.408 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
