rule_key,antecedent_codes,antecedent_descriptions,consequent_codes,consequent_descriptions,antecedent_length,consequent_length,antecedent_support,consequent_support,support,support_count,confidence,lift,leverage,conviction,conviction_is_infinite,interpretation,key_metrics_finite,conviction_valid,is_redundant
21801 => 21802 | 21803,"[""21801""]","[""21801 — CHRISTMAS TREE DECORATION WITH BELL""]","[""21802"", ""21803""]","[""21802 — CHRISTMAS TREE HEART DECORATION"", ""21803 — CHRISTMAS TREE STAR DECORATION""]",1,2,0.006982850120105022,0.007820792134517624,0.005530417295123178,99,0.792,101.26851428571429,0.005475805875827345,4.770092345507128,False,"Among transactions containing [21801 — CHRISTMAS TREE DECORATION WITH BELL], [21802 — CHRISTMAS TREE HEART DECORATION; 21803 — CHRISTMAS TREE STAR DECORATION] also appears with Confidence 0.792; Lift 101.269 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
21802 | 21803 => 21801,"[""21802"", ""21803""]","[""21802 — CHRISTMAS TREE HEART DECORATION"", ""21803 — CHRISTMAS TREE STAR DECORATION""]","[""21801""]","[""21801 — CHRISTMAS TREE DECORATION WITH BELL""]",2,1,0.007820792134517624,0.006982850120105022,0.005530417295123178,99,0.7071428571428572,101.26851428571429,0.005475805875827345,3.3907902678825685,False,"Among transactions containing [21802 — CHRISTMAS TREE HEART DECORATION; 21803 — CHRISTMAS TREE STAR DECORATION], [21801 — CHRISTMAS TREE DECORATION WITH BELL] also appears with Confidence 0.707; Lift 101.269 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
23291 => 23289,"[""23291""]","[""23291 — DOLLY GIRL CHILDRENS CUP""]","[""23289""]","[""23289 — DOLLY GIRL CHILDRENS BOWL""]",1,1,0.007876654935478464,0.0077090665325959444,0.005865594100888219,105,0.74468085106383,96.5980573543016,0.005804872443936315,3.8864728227473355,False,"Among transactions containing [23291 — DOLLY GIRL CHILDRENS CUP], [23289 — DOLLY GIRL CHILDRENS BOWL] also appears with Confidence 0.745; Lift 96.598 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
23289 => 23291,"[""23289""]","[""23289 — DOLLY GIRL CHILDRENS BOWL""]","[""23291""]","[""23291 — DOLLY GIRL CHILDRENS CUP""]",1,1,0.0077090665325959444,0.007876654935478464,0.005865594100888219,105,0.7608695652173914,96.59805735430159,0.005804872443936315,4.1488794429970905,False,"Among transactions containing [23289 — DOLLY GIRL CHILDRENS BOWL], [23291 — DOLLY GIRL CHILDRENS CUP] also appears with Confidence 0.761; Lift 96.598 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
23286 | 23288 => 23285,"[""23286"", ""23288""]","[""23286 — BLUE VINTAGE SPOT BEAKER"", ""23288 — GREEN VINTAGE SPOT BEAKER""]","[""23285""]","[""23285 — PINK VINTAGE SPOT BEAKER""]",2,1,0.00642422211049662,0.008658734148930227,0.005362828892240657,96,0.8347826086956521,96.40931276297336,0.0053072032608721875,6.0002234512038415,False,"Among transactions containing [23286 — BLUE VINTAGE SPOT BEAKER; 23288 — GREEN VINTAGE SPOT BEAKER], [23285 — PINK VINTAGE SPOT BEAKER] also appears with Confidence 0.835; Lift 96.409 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
21987 => 21988,"[""21987""]","[""21987 — PACK OF 6 SKULL PAPER CUPS""]","[""21988""]","[""21988 — PACK OF 6 SKULL PAPER PLATES""]",1,1,0.006703536115300821,0.008100106139321826,0.005195240489358137,93,0.775,95.67775862068966,0.005140941135315423,4.408443972714126,False,"Among transactions containing [21987 — PACK OF 6 SKULL PAPER CUPS], [21988 — PACK OF 6 SKULL PAPER PLATES] also appears with Confidence 0.775; Lift 95.678 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
21801 | 21803 => 21802,"[""21801"", ""21803""]","[""21801 — CHRISTMAS TREE DECORATION WITH BELL"", ""21803 — CHRISTMAS TREE STAR DECORATION""]","[""21802""]","[""21802 — CHRISTMAS TREE HEART DECORATION""]",2,1,0.005809731299927378,0.009999441371990391,0.005530417295123178,99,0.9519230769230769,95.19762569832402,0.005472323227602536,20.59201161946258,False,"Among transactions containing [21801 — CHRISTMAS TREE DECORATION WITH BELL; 21803 — CHRISTMAS TREE STAR DECORATION], [21802 — CHRISTMAS TREE HEART DECORATION] also appears with Confidence 0.952; Lift 95.198 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
23286 | 23288 => 23287,"[""23286"", ""23288""]","[""23286 — BLUE VINTAGE SPOT BEAKER"", ""23288 — GREEN VINTAGE SPOT BEAKER""]","[""23287""]","[""23287 — RED VINTAGE SPOT BEAKER""]",2,1,0.00642422211049662,0.008714596949891068,0.005195240489358137,93,0.808695652173913,92.79782608695652,0.00513925598294858,5.181719152307387,False,"Among transactions containing [23286 — BLUE VINTAGE SPOT BEAKER; 23288 — GREEN VINTAGE SPOT BEAKER], [23287 — RED VINTAGE SPOT BEAKER] also appears with Confidence 0.809; Lift 92.798 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
23286 | 23287 => 23288,"[""23286"", ""23287""]","[""23286 — BLUE VINTAGE SPOT BEAKER"", ""23287 — RED VINTAGE SPOT BEAKER""]","[""23288""]","[""23288 — GREEN VINTAGE SPOT BEAKER""]",2,1,0.00642422211049662,0.008770459750851908,0.005195240489358137,93,0.808695652173913,92.20675713098865,0.005138897107907494,5.181427142211456,False,"Among transactions containing [23286 — BLUE VINTAGE SPOT BEAKER; 23287 — RED VINTAGE SPOT BEAKER], [23288 — GREEN VINTAGE SPOT BEAKER] also appears with Confidence 0.809; Lift 92.207 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
23285 | 23286 => 23288,"[""23285"", ""23286""]","[""23285 — PINK VINTAGE SPOT BEAKER"", ""23286 — BLUE VINTAGE SPOT BEAKER""]","[""23288""]","[""23288 — GREEN VINTAGE SPOT BEAKER""]",2,1,0.006759398916261661,0.008770459750851908,0.005362828892240657,96,0.7933884297520662,90.46144128020215,0.005303545856105632,4.79755097480588,False,"Among transactions containing [23285 — PINK VINTAGE SPOT BEAKER; 23286 — BLUE VINTAGE SPOT BEAKER], [23288 — GREEN VINTAGE SPOT BEAKER] also appears with Confidence 0.793; Lift 90.461 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
23285 | 23288 => 23286,"[""23285"", ""23288""]","[""23285 — PINK VINTAGE SPOT BEAKER"", ""23288 — GREEN VINTAGE SPOT BEAKER""]","[""23286""]","[""23286 — BLUE VINTAGE SPOT BEAKER""]",2,1,0.005865594100888219,0.010167029774872912,0.005362828892240657,96,0.9142857142857143,89.9265306122449,0.005303193222369607,11.548051319293146,False,"Among transactions containing [23285 — PINK VINTAGE SPOT BEAKER; 23288 — GREEN VINTAGE SPOT BEAKER], [23286 — BLUE VINTAGE SPOT BEAKER] also appears with Confidence 0.914; Lift 89.927 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
21801 => 21802,"[""21801""]","[""21801 — CHRISTMAS TREE DECORATION WITH BELL""]","[""21802""]","[""21802 — CHRISTMAS TREE HEART DECORATION""]",1,1,0.006982850120105022,0.009999441371990391,0.006144908105692419,110,0.88,88.00491620111733,0.006075083505307033,8.250004655233413,False,"Among transactions containing [21801 — CHRISTMAS TREE DECORATION WITH BELL], [21802 — CHRISTMAS TREE HEART DECORATION] also appears with Confidence 0.880; Lift 88.005 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
23345 => 23346,"[""23345""]","[""23345 — DOLLY GIRL BEAKER""]","[""23346""]","[""23346 — SPACEBOY BEAKER""]",1,1,0.007876654935478464,0.008211831741243505,0.005530417295123178,99,0.7021276595744682,85.50195397307861,0.005465735530109194,3.329574564868684,False,"Among transactions containing [23345 — DOLLY GIRL BEAKER], [23346 — SPACEBOY BEAKER] also appears with Confidence 0.702; Lift 85.502 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
23290 => 23292,"[""23290""]","[""23290 — SPACEBOY CHILDRENS BOWL""]","[""23292""]","[""23292 — SPACEBOY CHILDRENS CUP""]",1,1,0.008044243338360985,0.008770459750851908,0.005977319702809899,107,0.7430555555555557,84.72253184713377,0.005906767990384745,3.857758210699389,False,"Among transactions containing [23290 — SPACEBOY CHILDRENS BOWL], [23292 — SPACEBOY CHILDRENS CUP] also appears with Confidence 0.743; Lift 84.723 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
23287 | 23288 => 23286,"[""23287"", ""23288""]","[""23287 — RED VINTAGE SPOT BEAKER"", ""23288 — GREEN VINTAGE SPOT BEAKER""]","[""23286""]","[""23286 — BLUE VINTAGE SPOT BEAKER""]",2,1,0.006033182503770739,0.010167029774872912,0.005195240489358137,93,0.8611111111111112,84.69642857142858,0.005133900943205058,7.126797385620917,False,"Among transactions containing [23287 — RED VINTAGE SPOT BEAKER; 23288 — GREEN VINTAGE SPOT BEAKER], [23286 — BLUE VINTAGE SPOT BEAKER] also appears with Confidence 0.861; Lift 84.696 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
21801 | 21802 => 21803,"[""21801"", ""21802""]","[""21801 — CHRISTMAS TREE DECORATION WITH BELL"", ""21802 — CHRISTMAS TREE HEART DECORATION""]","[""21803""]","[""21803 — CHRISTMAS TREE STAR DECORATION""]",2,1,0.006144908105692419,0.011060834590246356,0.005530417295123178,99,0.9,81.36818181818181,0.00546244948299385,9.889391654097539,False,"Among transactions containing [21801 — CHRISTMAS TREE DECORATION WITH BELL; 21802 — CHRISTMAS TREE HEART DECORATION], [21803 — CHRISTMAS TREE STAR DECORATION] also appears with Confidence 0.900; Lift 81.368 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
21084 => 21090,"[""21084""]","[""21084 — SET/6 COLLAGE PAPER CUPS""]","[""21090""]","[""21090 — SET/6 COLLAGE PAPER PLATES""]",1,1,0.009105636556616949,0.011060834590246356,0.007988380537400145,143,0.8773006134969326,79.3159509202454,0.007887664597608505,8.059854198089495,False,"Among transactions containing [21084 — SET/6 COLLAGE PAPER CUPS], [21090 — SET/6 COLLAGE PAPER PLATES] also appears with Confidence 0.877; Lift 79.316 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
21090 => 21084,"[""21090""]","[""21090 — SET/6 COLLAGE PAPER PLATES""]","[""21084""]","[""21084 — SET/6 COLLAGE PAPER CUPS""]",1,1,0.011060834590246356,0.009105636556616949,0.007988380537400145,143,0.7222222222222222,79.3159509202454,0.007887664597608505,3.5672197083961787,False,"Among transactions containing [21090 — SET/6 COLLAGE PAPER PLATES], [21084 — SET/6 COLLAGE PAPER CUPS] also appears with Confidence 0.722; Lift 79.316 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22593 | 22595 => 22594,"[""22593"", ""22595""]","[""22593 — CHRISTMAS GINGHAM STAR"", ""22595 — GINGHAM HEART DECORATION""]","[""22594""]","[""22594 — CHRISTMAS GINGHAM TREE""]",2,1,0.006871124518183342,0.010111166973912072,0.005474554494162337,98,0.7967479674796748,78.79881417598706,0.005405079406860445,4.870253058488353,False,"Among transactions containing [22593 — CHRISTMAS GINGHAM STAR; 22595 — GINGHAM HEART DECORATION], [22594 — CHRISTMAS GINGHAM TREE] also appears with Confidence 0.797; Lift 78.799 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22594 | 22595 => 22593,"[""22594"", ""22595""]","[""22594 — CHRISTMAS GINGHAM TREE"", ""22595 — GINGHAM HEART DECORATION""]","[""22593""]","[""22593 — CHRISTMAS GINGHAM STAR""]",2,1,0.006871124518183342,0.010111166973912072,0.005474554494162337,98,0.7967479674796748,78.79881417598706,0.005405079406860445,4.870253058488353,False,"Among transactions containing [22594 — CHRISTMAS GINGHAM TREE; 22595 — GINGHAM HEART DECORATION], [22593 — CHRISTMAS GINGHAM STAR] also appears with Confidence 0.797; Lift 78.799 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
23213 => 23212,"[""23213""]","[""23213 — STAR WREATH DECORATION WITH BELL""]","[""23212""]","[""23212 — HEART WREATH DECORATION WITH BELL""]",1,1,0.007373889726830903,0.00944081336238199,0.005362828892240657,96,0.7272727272727273,77.03496503496504,0.005293213375574861,3.6320503510045996,False,"Among transactions containing [23213 — STAR WREATH DECORATION WITH BELL], [23212 — HEART WREATH DECORATION WITH BELL] also appears with Confidence 0.727; Lift 77.035 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
23285 => 23286,"[""23285""]","[""23285 — PINK VINTAGE SPOT BEAKER""]","[""23286""]","[""23286 — BLUE VINTAGE SPOT BEAKER""]",1,1,0.008658734148930227,0.010167029774872912,0.006759398916261661,121,0.7806451612903225,76.78202764976957,0.006671365308356779,4.512473834849842,False,"Among transactions containing [23285 — PINK VINTAGE SPOT BEAKER], [23286 — BLUE VINTAGE SPOT BEAKER] also appears with Confidence 0.781; Lift 76.782 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
