rule_key,antecedent_codes,antecedent_descriptions,consequent_codes,consequent_descriptions,antecedent_length,consequent_length,antecedent_support,consequent_support,support,support_count,confidence,lift,leverage,conviction,conviction_is_infinite,interpretation,key_metrics_finite,conviction_valid,is_redundant
22697 => 22699,"[""22697""]","[""22697 — GREEN REGENCY TEACUP AND SAUCER""]","[""22699""]","[""22699 — ROSES REGENCY TEACUP AND SAUCER""]",1,1,0.05206413049550304,0.053404837718563206,0.039103960672588124,700,0.7510729613733905,14.06376263759944,0.03632348423251769,3.8027012553719786,False,"Among transactions containing [22697 — GREEN REGENCY TEACUP AND SAUCER], [22699 — ROSES REGENCY TEACUP AND SAUCER] also appears with Confidence 0.751; Lift 14.064 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22699 => 22697,"[""22699""]","[""22699 — ROSES REGENCY TEACUP AND SAUCER""]","[""22697""]","[""22697 — GREEN REGENCY TEACUP AND SAUCER""]",1,1,0.053404837718563206,0.05206413049550304,0.039103960672588124,700,0.7322175732217573,14.06376263759944,0.03632348423251769,3.5399480126808553,False,"Among transactions containing [22699 — ROSES REGENCY TEACUP AND SAUCER], [22697 — GREEN REGENCY TEACUP AND SAUCER] also appears with Confidence 0.732; Lift 14.064 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22698 => 22697,"[""22698""]","[""22698 — PINK REGENCY TEACUP AND SAUCER""]","[""22697""]","[""22697 — GREEN REGENCY TEACUP AND SAUCER""]",1,1,0.0392156862745098,0.05206413049550304,0.03217697335344394,576,0.8205128205128204,15.759656652360514,0.03013524274577715,5.281356987239336,False,"Among transactions containing [22698 — PINK REGENCY TEACUP AND SAUCER], [22697 — GREEN REGENCY TEACUP AND SAUCER] also appears with Confidence 0.821; Lift 15.760 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22698 => 22699,"[""22698""]","[""22698 — PINK REGENCY TEACUP AND SAUCER""]","[""22699""]","[""22699 — ROSES REGENCY TEACUP AND SAUCER""]",1,1,0.0392156862745098,0.053404837718563206,0.030445226523657897,545,0.7763532763532763,14.53713389121339,0.028350919162145615,4.232546521793431,False,"Among transactions containing [22698 — PINK REGENCY TEACUP AND SAUCER], [22699 — ROSES REGENCY TEACUP AND SAUCER] also appears with Confidence 0.776; Lift 14.537 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
23300 => 23301,"[""23300""]","[""23300 — GARDENERS KNEELING PAD CUP OF TEA""]","[""23301""]","[""23301 — GARDENERS KNEELING PAD KEEP CALM""]",1,1,0.04189710072063013,0.05016479526283448,0.030221775319814535,541,0.7213333333333334,14.37927394209354,0.02812001584005777,3.408499538530499,False,"Among transactions containing [23300 — GARDENERS KNEELING PAD CUP OF TEA], [23301 — GARDENERS KNEELING PAD KEEP CALM] also appears with Confidence 0.721; Lift 14.379 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22698 | 22699 => 22697,"[""22698"", ""22699""]","[""22698 — PINK REGENCY TEACUP AND SAUCER"", ""22699 — ROSES REGENCY TEACUP AND SAUCER""]","[""22697""]","[""22697 — GREEN REGENCY TEACUP AND SAUCER""]",2,1,0.030445226523657897,0.05206413049550304,0.027484498072733368,492,0.9027522935779817,17.33923691774619,0.025899393826040493,9.74764243169719,False,"Among transactions containing [22698 — PINK REGENCY TEACUP AND SAUCER; 22699 — ROSES REGENCY TEACUP AND SAUCER], [22697 — GREEN REGENCY TEACUP AND SAUCER] also appears with Confidence 0.903; Lift 17.339 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22697 | 22698 => 22699,"[""22697"", ""22698""]","[""22697 — GREEN REGENCY TEACUP AND SAUCER"", ""22698 — PINK REGENCY TEACUP AND SAUCER""]","[""22699""]","[""22699 — ROSES REGENCY TEACUP AND SAUCER""]",2,1,0.03217697335344394,0.053404837718563206,0.027484498072733368,492,0.8541666666666669,15.994181485355654,0.025766092032518163,6.490938255644147,False,"Among transactions containing [22697 — GREEN REGENCY TEACUP AND SAUCER; 22698 — PINK REGENCY TEACUP AND SAUCER], [22699 — ROSES REGENCY TEACUP AND SAUCER] also appears with Confidence 0.854; Lift 15.994 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22697 | 22699 => 22698,"[""22697"", ""22699""]","[""22697 — GREEN REGENCY TEACUP AND SAUCER"", ""22699 — ROSES REGENCY TEACUP AND SAUCER""]","[""22698""]","[""22698 — PINK REGENCY TEACUP AND SAUCER""]",2,1,0.039103960672588124,0.0392156862745098,0.027484498072733368,492,0.7028571428571428,17.922857142857143,0.025951009418906382,3.2334087481146305,False,"Among transactions containing [22697 — GREEN REGENCY TEACUP AND SAUCER; 22699 — ROSES REGENCY TEACUP AND SAUCER], [22698 — PINK REGENCY TEACUP AND SAUCER] also appears with Confidence 0.703; Lift 17.923 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22698 => 22697 | 22699,"[""22698""]","[""22698 — PINK REGENCY TEACUP AND SAUCER""]","[""22697"", ""22699""]","[""22697 — GREEN REGENCY TEACUP AND SAUCER"", ""22699 — ROSES REGENCY TEACUP AND SAUCER""]",1,2,0.0392156862745098,0.039103960672588124,0.027484498072733368,492,0.7008547008547008,17.92285714285714,0.025951009418906382,3.212138188608776,False,"Among transactions containing [22698 — PINK REGENCY TEACUP AND SAUCER], [22697 — GREEN REGENCY TEACUP AND SAUCER; 22699 — ROSES REGENCY TEACUP AND SAUCER] also appears with Confidence 0.701; Lift 17.923 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
22356 => 20724,"[""22356""]","[""22356 — CHARLOTTE BAG PINK POLKADOT""]","[""20724""]","[""20724 — RED RETROSPOT CHARLOTTE BAG""]",1,1,0.03759566504664544,0.050444109267638676,0.026758281660242446,479,0.711738484398217,14.109446964797877,0.024861801824639918,3.2940779096024704,False,"Among transactions containing [22356 — CHARLOTTE BAG PINK POLKADOT], [20724 — RED RETROSPOT CHARLOTTE BAG] also appears with Confidence 0.712; Lift 14.109 compares this co-occurrence with the consequent's baseline frequency and does not imply causation.",True,True,False
