Description,arff_attribute,ProductLabel,StockCode,column_index
INFLATABLE POLITICAL GLOBE,P_000000,10002 — INFLATABLE POLITICAL GLOBE,10002,0
GROOVY CACTUS INFLATABLE,P_000001,10080 — GROOVY CACTUS INFLATABLE,10080,1
DOGGY RUBBER,P_000002,10120 — DOGGY RUBBER,10120,2
HEARTS WRAPPING TAPE,P_000003,10123C — HEARTS WRAPPING TAPE,10123C,3
SPOTS ON RED BOOKCOVER TAPE,P_000004,10124A — SPOTS ON RED BOOKCOVER TAPE,10124A,4
ARMY CAMO BOOKCOVER TAPE,P_000005,10124G — ARMY CAMO BOOKCOVER TAPE,10124G,5
MINI FUNKY DESIGN TAPES,P_000006,10125 — MINI FUNKY DESIGN TAPES,10125,6
COLOURING PENCILS BROWN TUBE,P_000007,10133 — COLOURING PENCILS BROWN TUBE,10133,7
COLOURING PENCILS BROWN TUBE,P_000008,10135 — COLOURING PENCILS BROWN TUBE,10135,8
ASSTD DESIGN RACING CAR PEN,P_000009,11001 — ASSTD DESIGN RACING CAR PEN,11001,9
FAN BLACK FRAME,P_000010,15030 — FAN BLACK FRAME,15030,10
PAPER POCKET TRAVELING FAN,P_000011,15034 — PAPER POCKET TRAVELING FAN,15034,11
ASSORTED COLOURS SILK FAN,P_000012,15036 — ASSORTED COLOURS SILK FAN,15036,12
SANDALWOOD FAN,P_000013,15039 — SANDALWOOD FAN,15039,13
PINK PAPER PARASOL,P_000014,15044A — PINK PAPER PARASOL,15044A,14
BLUE PAPER PARASOL,P_000015,15044B — BLUE PAPER PARASOL,15044B,15
PURPLE PAPER PARASOL,P_000016,15044C — PURPLE PAPER PARASOL,15044C,16
RED PAPER PARASOL,P_000017,15044D — RED PAPER PARASOL,15044D,17
EDWARDIAN PARASOL BLACK,P_000018,15056BL — EDWARDIAN PARASOL BLACK,15056BL,18
EDWARDIAN PARASOL NATURAL,P_000019,15056N — EDWARDIAN PARASOL NATURAL,15056N,19
EDWARDIAN PARASOL PINK,P_000020,15056P — EDWARDIAN PARASOL PINK,15056P,20
BLUE POLKADOT GARDEN PARASOL,P_000021,15058A — BLUE POLKADOT GARDEN PARASOL,15058A,21
PINK POLKADOT GARDEN PARASOL,P_000022,15058B — PINK POLKADOT GARDEN PARASOL,15058B,22
ICE CREAM DESIGN GARDEN PARASOL,P_000023,15058C — ICE CREAM DESIGN GARDEN PARASOL,15058C,23
FAIRY CAKE DESIGN UMBRELLA,P_000024,15060B — FAIRY CAKE DESIGN UMBRELLA,15060B,24
SMALL FOLDING SCISSOR(POINTED EDGE),P_000025,16008 — SMALL FOLDING SCISSOR(POINTED EDGE),16008,25
