row_index,InvoiceNo,InvoiceDate,InvoiceDateMax,CustomerID,Country,CustomerValueCount,CountryValueCount,SourceLineCount,UniqueProducts,TotalQuantity,AggregatedSourceLineCount,HasCustomerConflict,HasCountryConflict
0,536365,2010-12-01 08:26:00,2010-12-01 08:26:00,17850.0,United Kingdom,1,1,7,7,40,7,False,False
1,536366,2010-12-01 08:28:00,2010-12-01 08:28:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
2,536367,2010-12-01 08:34:00,2010-12-01 08:34:00,13047.0,United Kingdom,1,1,12,12,83,12,False,False
3,536368,2010-12-01 08:34:00,2010-12-01 08:34:00,13047.0,United Kingdom,1,1,4,4,15,4,False,False
4,536369,2010-12-01 08:35:00,2010-12-01 08:35:00,13047.0,United Kingdom,1,1,1,1,3,1,False,False
5,536371,2010-12-01 09:00:00,2010-12-01 09:00:00,13748.0,United Kingdom,1,1,1,1,80,1,False,False
6,536372,2010-12-01 09:01:00,2010-12-01 09:01:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
7,536373,2010-12-01 09:02:00,2010-12-01 09:02:00,17850.0,United Kingdom,1,1,16,16,88,16,False,False
8,536374,2010-12-01 09:09:00,2010-12-01 09:09:00,15100.0,United Kingdom,1,1,1,1,32,1,False,False
9,536375,2010-12-01 09:32:00,2010-12-01 09:32:00,17850.0,United Kingdom,1,1,16,16,88,16,False,False
10,536376,2010-12-01 09:32:00,2010-12-01 09:32:00,15291.0,United Kingdom,1,1,2,2,112,2,False,False
11,536377,2010-12-01 09:34:00,2010-12-01 09:34:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
12,536378,2010-12-01 09:37:00,2010-12-01 09:37:00,14688.0,United Kingdom,1,1,19,19,454,19,False,False
13,536380,2010-12-01 09:41:00,2010-12-01 09:41:00,17809.0,United Kingdom,1,1,1,1,24,1,False,False
14,536381,2010-12-01 09:41:00,2010-12-01 09:41:00,15311.0,United Kingdom,1,1,35,34,198,35,False,False
15,536382,2010-12-01 09:45:00,2010-12-01 09:45:00,16098.0,United Kingdom,1,1,12,12,134,12,False,False
16,536384,2010-12-01 09:53:00,2010-12-01 09:53:00,18074.0,United Kingdom,1,1,13,13,190,13,False,False
17,536385,2010-12-01 09:56:00,2010-12-01 09:56:00,17420.0,United Kingdom,1,1,7,7,53,7,False,False
18,536386,2010-12-01 09:57:00,2010-12-01 09:57:00,16029.0,United Kingdom,1,1,3,3,236,3,False,False
19,536387,2010-12-01 09:58:00,2010-12-01 09:58:00,16029.0,United Kingdom,1,1,5,5,1440,5,False,False
20,536388,2010-12-01 09:59:00,2010-12-01 09:59:00,16250.0,United Kingdom,1,1,14,14,108,14,False,False
21,536390,2010-12-01 10:19:00,2010-12-01 10:19:00,17511.0,United Kingdom,1,1,24,24,1568,24,False,False
22,536392,2010-12-01 10:29:00,2010-12-01 10:29:00,13705.0,United Kingdom,1,1,10,10,103,10,False,False
23,536393,2010-12-01 10:37:00,2010-12-01 10:37:00,13747.0,United Kingdom,1,1,1,1,8,1,False,False
24,536394,2010-12-01 10:39:00,2010-12-01 10:39:00,13408.0,United Kingdom,1,1,11,11,544,11,False,False
25,536395,2010-12-01 10:47:00,2010-12-01 10:47:00,13767.0,United Kingdom,1,1,14,14,260,14,False,False
26,536396,2010-12-01 10:51:00,2010-12-01 10:51:00,17850.0,United Kingdom,1,1,18,18,102,18,False,False
27,536397,2010-12-01 10:51:00,2010-12-01 10:51:00,17924.0,United Kingdom,1,1,2,2,60,2,False,False
28,536398,2010-12-01 10:52:00,2010-12-01 10:52:00,13448.0,United Kingdom,1,1,17,17,150,17,False,False
29,536399,2010-12-01 10:52:00,2010-12-01 10:52:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
30,536400,2010-12-01 10:53:00,2010-12-01 10:53:00,13448.0,United Kingdom,1,1,1,1,12,1,False,False
31,536401,2010-12-01 11:21:00,2010-12-01 11:21:00,15862.0,United Kingdom,1,1,64,64,124,64,False,False
32,536402,2010-12-01 11:22:00,2010-12-01 11:22:00,15513.0,United Kingdom,1,1,3,3,116,3,False,False
33,536404,2010-12-01 11:29:00,2010-12-01 11:29:00,16218.0,United Kingdom,1,1,28,28,438,28,False,False
34,536405,2010-12-01 11:32:00,2010-12-01 11:32:00,14045.0,United Kingdom,1,1,1,1,128,1,False,False
35,536406,2010-12-01 11:33:00,2010-12-01 11:33:00,17850.0,United Kingdom,1,1,17,17,96,17,False,False
36,536407,2010-12-01 11:34:00,2010-12-01 11:34:00,17850.0,United Kingdom,1,1,2,2,12,2,False,False
37,536408,2010-12-01 11:41:00,2010-12-01 11:41:00,14307.0,United Kingdom,1,1,48,48,558,48,False,False
38,536409,2010-12-01 11:45:00,2010-12-01 11:45:00,17908.0,United Kingdom,1,1,54,51,169,54,False,False
39,536412,2010-12-01 11:49:00,2010-12-01 11:49:00,17920.0,United Kingdom,1,1,68,54,197,68,False,False
40,536415,2010-12-01 11:57:00,2010-12-01 11:57:00,12838.0,United Kingdom,1,1,59,59,228,59,False,False
41,536416,2010-12-01 11:58:00,2010-12-01 11:58:00,13255.0,United Kingdom,1,1,6,6,110,6,False,False
42,536420,2010-12-01 12:03:00,2010-12-01 12:03:00,16583.0,United Kingdom,1,1,14,14,111,14,False,False
43,536423,2010-12-01 12:08:00,2010-12-01 12:08:00,18085.0,United Kingdom,1,1,9,9,78,9,False,False
44,536425,2010-12-01 12:08:00,2010-12-01 12:08:00,13758.0,United Kingdom,1,1,17,17,137,17,False,False
